cmd,msg,type
pls,pls,basic
ping,pong!,basic
donate,If you enjoy the stream; help keep the site going! :) http://aclee.memesyndicate.com/gofundme,basic
de,FENSE!,basic
aclee,based aclee,basic
cheesesteak,https://i.imgur.com/yDot0lg.gif,basic
dumps,http://i.imgur.com/6I9z75O.png,basic
lag,http://i.imgur.com/wHU7f4P.jpg,basic
wawa,http://i.imgur.com/VcC5gLV.png,basic
nice,http://i.imgur.com/QMRxuuP.png,basic
bro,http://i.imgur.com/ocCYhpL.png,basic
pogchamp,http://i.imgur.com/7bGsxZC.png,basic
fap,http://i.imgur.com/UZA7oDD.png,basic
stoned,http://i.imgur.com/BXVlumD.jpg,basic
dab,https://i.imgur.com/DxFhJ5G.png,basic
woo,http://i.imgur.com/PuzhNHg.gif,basic
amac,https://i.imgur.com/3kblRR8.gif,basic
frosty,https://i.imgur.com/8VoCV6P.png,basic
meek,FREE MEEK,basic
suicide,https://i.imgur.com/Lpu455k.png,basic
popcorn,http://i.imgur.com/8T8fm98.gif,basic
rocky,https://i.imgur.com/VlDBmj3.png,basic
clap,Clap your hands everybody for Philadelphia 76ers!,basic
stomp,Stomp your feet everybody for Philadelphia 76ers!,basic
htc,Here they come; Philadelphia; on the run; stand up and cheer!,basic
no1,Number one; Philadelphia; here they come; team of the year!,basic
count,1 2 3 4 5 Sixers!,basic
tnuoc,10 9 8 76ers!,basic
ftc,Fuck the Celtics!,basic
doop,DOOP DOOP DOOP DADADOOP DOOP DOOP,basic
jj,SHOT! High and wide.,basic
lgf,let's go flyera,basic
ttp,Trust the process,basic
belinelli,https://i.imgur.com/PST9VDt.png,basic
marco,POLO!,basic
ftp,https://i.imgur.com/KLy5Ads.png,basic
tj,https://i.imgur.com/r7obJ2O.png,basic
goat,http://i.imgur.com/r7obJ2O.png,basic
king,where the hoes at,basic
panduh,based panduh,basic
woat,ban goat when,basic
nephew,https://i.imgur.com/oJ3qLRG.jpg,basic
dance,/o/,basic
chant,E! A! G! L! E! S! EAGLES!,basic
